id,exercise_name,category_name,primary_muscle_name,secondary_muscle_name,difficulty,equipment_name,exercise_type,sets,seconds_per_set,repetitions_per_set,rest_between_set,video_url_male,thumbnail_male,primary_joint_name,visible_for,exercise_intensity,intensity_value,distance,speed,met_id,gif_url,created_by,updated_by,created_by_type,updated_by_type,is_deleted,video_url
372,Arnold press - DBs,strength,Front Shoulders,"Upper Back, Triceps, Shoulders",Intermediate,Dumbbells,repetition_based,3,,"{10,10,10}","{45,45,45}",https://uploads.fitnfi.com/exercises/videos/2023_db012.mp4,https://uploads.fitnfi.com/exercises/thumbnails/1cf4c0d20e0216616aad54e9b5b12619ace8.png,Shoulder,everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE,https://uploads.fitnfi.com/exercises/videos/2023_db012.mp4
283,"Marching in place, duration",cardio,Cardiovascular System,Full Body,Novice,,time_based,3,"{60,60,60}",,"{45,45,45}",https://uploads.fitnfi.com/exercises/videos/2023_cw002.mp4,https://uploads.fitnfi.com/exercises/thumbnails/9cc39395b7bfff93578622ef9b97275ca1d2.png,"Hip,Knee",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE,https://uploads.fitnfi.com/exercises/videos/2023_cw002.mp4
49,Crunch - FB,strength,Abs - Straight Abs,,Intermediate,Exercise ball,repetition_based,3,,"{10,10,10}","{45,45,45}",https://uploads.fitnfi.com/exercises/videos/2023_eb016.mp4,https://uploads.fitnfi.com/exercises/thumbnails/45a4438efb6082ab771e2df1c9f9a296d48a.png,"Spine,Core",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE,https://uploads.fitnfi.com/exercises/videos/2023_eb016.mp4
177,Crunch,strength,Abs - Straight Abs,,Novice,,repetition_based,3,,"{10,10,10}","{45,45,45}",https://uploads.fitnfi.com/exercises/videos/2023_xa003.mp4,https://uploads.fitnfi.com/exercises/thumbnails/871ddcce3027a5ca908920b266dd7b794b1d.png,"Spine,Core",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE,https://uploads.fitnfi.com/exercises/videos/2023_xa003.mp4
199,"One arm side row, left - DB",strength,Upper Back,"Biceps, Lats, Back Shoulders",Intermediate,Dumbbells,repetition_based,3,,"{10,10,10}","{45,45,45}",https://uploads.fitnfi.com/exercises/videos/2023_db006.mp4,https://uploads.fitnfi.com/exercises/thumbnails/6535491f6a1e1731320b2341a9964b8c3c52.png,Shoulder,everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE,https://uploads.fitnfi.com/exercises/videos/2023_db006.mp4
162,Air squat,strength,Quads,"Glutes, Hamstrings, Lower Back",Novice,,repetition_based,3,,"{10,10,10}","{45,45,45}",https://uploads.fitnfi.com/exercises/videos/2023_xl001.mp4,https://uploads.fitnfi.com/exercises/thumbnails/be5ccfca084c6e20a78e065e213100452944.png,"Hip,Knee",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE,https://uploads.fitnfi.com/exercises/videos/2023_xl001.mp4
463,Air squat sumo,strength,Quads,"Glutes, Hamstrings, Lower Back, Abductor",Beginner,,repetition_based,3,,"{10,10,10}","{45,45,45}",https://uploads.fitnfi.com/exercises/videos/2023_xl015.mp4,https://uploads.fitnfi.com/exercises/thumbnails/ced0eab98bb57da58453e931685078cd201f.png,"Hip,Knee",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE,https://uploads.fitnfi.com/exercises/videos/2023_xl015.mp4
181,Windmill,strength,Obliques,,Novice,,repetition_based,3,,"{10,10,10}","{45,45,45}",https://uploads.fitnfi.com/exercises/videos/2023_xf002.mp4,https://uploads.fitnfi.com/exercises/thumbnails/6382974eb8724c8f318e5f7b2785e5340b4b.png,"Spine,Core",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE,https://uploads.fitnfi.com/exercises/videos/2023_xf002.mp4
275,Sicilian crunch - Plate,strength,All Abs,,Novice,Weight plate,repetition_based,3,,"{10,10,10}","{45,45,45}",https://uploads.fitnfi.com/exercises/videos/2023_da001.mp4,https://uploads.fitnfi.com/exercises/thumbnails/44c81e70b18ea2f9888e83cfe17440b6138a.png,"Spine,Core",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE,https://uploads.fitnfi.com/exercises/videos/2023_da001.mp4
169,Push-up wall,strength,Chest,Triceps,Novice,Wall,repetition_based,3,,"{10,10,10}","{45,45,45}",https://uploads.fitnfi.com/exercises/videos/2023_xc006.mp4,https://uploads.fitnfi.com/exercises/thumbnails/8cb5878c9f9c867d2920684b145420c75d45.png,Shoulder,everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE,https://uploads.fitnfi.com/exercises/videos/2023_xc006.mp4
