id,exercise_name,category_name,primary_muscle_name,secondary_muscle_name,difficulty,equipment_name,exercise_type,sets,seconds_per_set,repetitions_per_set,rest_between_set,video_url_male,thumbnail_male,primary_joint_name,visible_for,exercise_intensity,intensity_value,distance,speed,met_id,gif_url,created_by,updated_by,created_by_type,updated_by_type,is_deleted
6452,"Overhead split squat, right - Barbell",strength,"Quads, Glutes",,Novice,Barbell,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_rob035.mp4,https://uploads.fitnfi.com/exercises/thumbnails/309302d82dbd27c423696ac0951a08970003.png,"Hip,Knee",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
327,"Wii Fit, in general",cardio,Full Body,,Novice,,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",,https://uploads.fitnfi.com/exercises/thumbnails/7513dafcf81b260d8631e6f2010c1fe1.png,Combination,everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
9682,"Bear hug reverse lunge, right - SB",strength,"Quads, Glutes",,Intermediate,Sandbag,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_sb047m.mp4,https://uploads.fitnfi.com/exercises/thumbnails/19df484091415ae60307ba9d8e5c3f4c341f.png,"Hip,Knee",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
451,ShakeWeight Exercise,cardio,Arms,Back,Novice,,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",,https://uploads.fitnfi.com/exercises/thumbnails/21a697b42094c787d53f3600e0c8f8a3.png,Combination,everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
7637,Lunge walk press - KBs,strength,"Quads, Glutes, Shoulders",Legs,Intermediate,Kettlebell,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_impact115.mp4,https://uploads.fitnfi.com/exercises/thumbnails/cf3d019ff67e1b86b50cb551ea8112097093.png,"Hip,Knee,Shoulder",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
468,Hip N Thigh,cardio,"Legs, Glutes",,Novice,,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",,https://uploads.fitnfi.com/exercises/thumbnails/67374113c0e2a581fb4dcd8b5c2b9786.png,Hip,everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
6974,"Goblet reverse lunge, alternated - DB",strength,"Quads, Glutes",,Intermediate,Dumbbells,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_rob085a.mp4,https://uploads.fitnfi.com/exercises/thumbnails/1c7a300faec77aa0d3e6ccdcacf5f441d381.png,"Hip,Knee",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
13663,"Exorotation 90 degrees abduction, left - Pulley",strength,Back Shoulders,"Back, Shoulders",Beginner,Pulley,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_kv012m.mp4,https://uploads.fitnfi.com/exercises/thumbnails/eec98d71d6b29fe893b9bfe548dccd58882c.png,Shoulder,everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
9679,Lunge walk shouldering and overhead - SBs,strength,"Quads, Glutes",,Advanced,Sandbag,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_sb046.mp4,https://uploads.fitnfi.com/exercises/thumbnails/c18cc0acacc73a96c1025ada964af7c1dce8.png,"Hip,Knee,Shoulder",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
17349,Ball rollout  - FB,strength,All Abs,"Chest, Arms, Back",Intermediate,Exercise ball,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_id0060.mp4,https://uploads.fitnfi.com/exercises/thumbnails/0fccd7ae85bd34ca2b1706291e07c6a3125b.png,"Core,Spine",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
7630,"Goblet lateral star lunge, left - KB",strength,Quads,,Beginner,Kettlebell,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_impact096.mp4,https://uploads.fitnfi.com/exercises/thumbnails/7bfe35a73ef5d2593260fed822185ad93fd1.png,"Hip,Knee",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
